ticker,K,M,S,T,r,q,ask,bid,mid,iv_ask,iv_mid,iv_bid,last_price,volume,volume_1d,open_interest,theo_iv,theo_price,parity,delta_last,gamma_last,theta_last,vega_last,delta_mid,gamma_mid,theta_mid,vega_mid,rho_mid,ival,true,ylast,days_ex,FF,x
SPX 5/16/25 C200,200,0.038773221335268004,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,4955.39990234375,4937.2998046875,4946.349853515625,5.569072345174099,,,5437.06005859375,,,7.0,1.46392514698739,4950.85174028355,4958.2001953125,1.0,,,,1.0,,,,,4920.919921875,4918.1160236082,5437.06005859375,24.7256481481481,5167.653760417378,-3.251856679846751
SPX 5/16/25 C400,400,0.0775464426705359,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,4755.80078125,4736.69921875,4746.25,4.26730499267578,2.97618805113277,,,,,,1.3454996558232,4751.4451260693,4758.2001953125,,,,,1.0,,,,,4720.919921875,4718.71036923348,,24.7256481481481,5167.653760417378,-2.5587094992868056
SPX 5/16/25 C600,600,0.116319664005804,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,4556.5,4537.3984375,4546.94921875,3.58015289306641,2.6805334469438997,,4869.2998046875,,,,1.27112072813621,4552.03851187875,4558.2001953125,1.0,,,,1.0,,,,,4520.919921875,4519.30471485875,4869.2998046875,24.7256481481481,5167.653760417378,-2.1532443911786414
SPX 5/16/25 C800,800,0.15509288534107202,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,4356.5,4338.3984375,4347.44921875,3.08536651611328,2.2269697375301,,,,,,1.21559113671442,4352.63189865132,4358.2001953125,,,,,1.0,,,,,4320.919921875,4319.89906048402,,24.7256481481481,5167.653760417378,-1.8655623187268604
SPX 5/16/25 C1000,1000,0.19386610667634,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,4157.19921875,4139.09765625,4148.1484375,2.69607482910156,2.06253321811382,,4155.8701171875,25.0,401.0,656.0,1.17070658839597,4153.22530078856,4158.2001953125,1.0,,,,1.0,,,,,4120.919921875,4120.4934061093,4273.22021484375,24.7256481481481,5167.653760417378,-1.6424187674126507
SPX 5/16/25 C1200,1200,0.232639328011608,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,3957.89990234375,3939.80004882812,3948.8499755859348,2.43960739135742,1.90663645592154,,4444.490234375,,,1.0,1.13271372964921,3953.81883806205,3958.2001953125,1.0,,,,1.0,,,,,3920.919921875,3921.08775173457,4444.490234375,24.7256481481481,5167.653760417378,-1.460097210618696
SPX 5/16/25 C1400,1400,0.271412549346876,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,3759.39990234375,3740.39990234375,3749.89990234375,2.18662734985352,1.73614270084412,,3957.07006835938,,,2.0,1.09956753503792,3754.41316385489,3758.2001953125,1.0,,,,1.0,,,,,3720.919921875,3721.68209735985,3957.07006835938,24.7256481481481,5167.653760417378,-1.3059465307914375
SPX 5/16/25 C1600,1600,0.31018577068214404,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,3560.19995117188,3542.10009765625,3551.1500244140652,1.9697932215959302,,,4516.60009765625,,,2.0,1.07002537329587,3555.01090193888,3558.2001953125,1.0,0.000195442665238018,-0.191153397185694,0.182098410579251,1.0,,,,,3520.919921875,3522.27644298512,4516.60009765625,24.7256481481481,5167.653760417378,-1.172415138166915
SPX 5/16/25 C1800,1800,0.34895899201741204,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,3360.80004882812,3342.69995117188,3351.75,1.78235566160453,,,3494.60009765625,,1.0,2.0,1.04327320248007,3355.62040604402,3358.2001953125,1.0,,,,1.0,,,,,3320.919921875,3322.8707886104,3494.60009765625,24.7256481481481,5167.653760417378,-1.0546321025105316
SPX 5/16/25 C2000,2000,0.38773221335268,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,3161.60009765625,3143.5,3152.550048828125,1.62129229595206,,,3118.60009765625,16.0,1.0,25.0,1.01833199684593,3156.26342857349,3158.2001953125,0.998651623725891,0.000102742378428923,0.242093664231525,0.0459812753974377,1.0,,,,,3120.919921875,3123.46513423567,3292.17993164062,24.7256481481481,5167.653760417378,-0.9492715868527053
