ticker,K,M,S,T,r,q,ask,bid,mid,iv_ask,iv_mid,iv_bid,last_price,volume,volume_1d,open_interest,theo_iv,theo_price,parity,delta_last,gamma_last,theta_last,vega_last,delta_mid,gamma_mid,theta_mid,vega_mid,rho_mid,ival,true,ylast,days_ex,FF,x
SPX 5/16/25 P200,200,0.038773221335268004,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,0.0500000007450581,,0.02500000037252905,3.40738020488047,3.40738020488047,,0.0500000007450581,,,258.0,1.46392514698739,,,-3.5000000934815e-05,1.57753924526546e-06,-0.0121998358207451,0.00227155137097557,-3.67633656424005e-05,1.65901099080656e-06,-0.0135850869119167,0.00216410961002111,-1.62181106588832e-06,,,0.0500000007450581,24.7256481481481,5167.653760417378,-3.251856679846751
SPX 5/16/25 P400,400,0.0775464426705359,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,0.0500000007450581,,0.02500000037252905,2.65538898016663,2.65538898016663,,0.0500000007450581,,,85.0,1.3454996558232,,,-3.89999986509793e-05,2.13506326190779e-06,-0.014052686104265,0.00272598622942997,-4.89475569338538e-05,2.79010305348493e-06,-0.0138752600178123,0.00283630075864494,-2.04715911422682e-06,,,0.0500000007450581,24.7256481481481,5167.653760417378,-2.5587094992868056
SPX 5/16/25 P600,600,0.116319664005804,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,0.0500000007450581,,0.02500000037252905,2.22734082392711,2.22734082392711,,0.100000001490116,,,3018.0,1.27112072813621,,,-0.000106999999843538,6.57476546872083e-06,-0.0257738710263254,0.00598042244592283,-5.94170269323513e-05,3.99356440539123e-06,-0.0139750894159079,0.00340548227541149,-2.4124753963406e-06,,,0.100000001490116,24.7256481481481,5167.653760417378,-2.1532443911786414
SPX 5/16/25 P800,800,0.15509288534107202,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,0.0500000007450581,,0.02500000037252905,1.92830620079571,1.92830620079571,,0.150000005960464,,,710.0,1.21559113671442,,,-0.000178999995114282,1.20382023026069e-05,-0.0368616948054185,0.00962995446679941,-6.94194095558487e-05,5.34136734131607e-06,-0.0140095893293619,0.00394329894334078,-2.76157948064792e-06,,,0.150000005960464,24.7256481481481,5167.653760417378,-1.8655623187268604
SPX 5/16/25 P1000,1000,0.19386610667634,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,0.100000001490116,,0.050000000745058,1.78127948793125,1.78127948793125,,0.100000001490116,,,1549.0,1.17070658839597,,,-0.000138000003062189,1.08573270218108e-05,-0.0259167878659481,0.00778810114433056,-0.00014515285147354,1.15634147732635e-05,-0.0258741769939661,0.0078850444406271,-5.74363457417348e-06,,,0.100000001490116,24.7256481481481,5167.653760417378,-1.6424187674126507
SPX 5/16/25 P1200,1200,0.232639328011608,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,0.150000005960464,,0.075000002980232,1.5121219717707899,1.5121219717707899,,0.100000001490116,,,678.0,1.13271372964921,0.000168850334296944,,-0.000155000001541339,1.34857988404423e-05,-0.0232012128418173,0.00918490935619225,-0.00023256623535417,1.95928405446466e-05,-0.0368673279881477,0.0122518641874194,-9.13279745873297e-06,,,0.100000001490116,24.7256481481481,5167.653760417378,-1.460097210618696
SPX 5/16/25 P1400,1400,0.271412549346876,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,0.150000005960464,,0.075000002980232,1.4213992945327498,1.4213992945327498,1.34968931322987,0.0500000007450581,,,25880.0,1.09956753503792,0.00110885754283498,,-9.7999996796716e-05,1.03621986425773e-05,-0.0125887241844505,0.00582160208798198,-0.000260660046478733,2.43095673795324e-05,-0.0367561392486095,0.0136265689507127,-1.01134264696157e-05,,,0.0500000007450581,24.7256481481481,5167.653760417378,-1.3059465307914375
SPX 5/16/25 P1600,1600,0.31018577068214404,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,0.200000002980232,,0.100000001490116,1.34747245803134,1.34747245803134,,0.0500000007450581,,,3242.0,1.07002537329587,0.00546115589805758,,-0.000101999998150859,1.15912765056073e-05,-0.0119213411157705,0.00646756933434797,-0.000371458969311789,3.6725148675032e-05,-0.0470318458974361,0.0189458783715963,-1.43181114253821e-05,,,0.0500000007450581,24.7256481481481,5167.653760417378,-1.172415138166915
SPX 5/16/25 P1800,1800,0.34895899201741204,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,0.300000011920929,,0.1500000059604645,1.25680740356445,1.25680740356445,1.09438597124264,0.100000001490116,,,7890.0,1.04327320248007,0.0215794754040375,,-0.000213000006624497,2.48328203166876e-05,-0.0256035541213634,0.0117247124836936,-0.000582875218242407,5.97759171796497e-05,-0.06658835709095,0.0287554562091827,-2.23706610995578e-05,,,0.100000001490116,24.7256481481481,5167.653760417378,-1.0546321025105316
SPX 5/16/25 P2000,2000,0.38773221335268,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,0.300000011920929,,0.1500000059604645,1.1359035491943401,1.1359035491943401,,0.150000005960464,7.0,20.0,9575.0,1.01833199684593,0.0712162192394789,,-0.000362183578545228,4.52765623870355e-05,-0.0360801135922075,0.0183988192334959,-0.000645975640509278,7.2724673373159e-05,-0.0661756098270416,0.0316190272569656,-2.4572840629844e-05,,,0.150000005960464,24.7256481481481,5167.653760417378,-0.9492715868527053
SPX 5/16/25 P2100,2100,0.407118824020314,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,0.350000023841858,,0.175000011920929,1.09410675048828,1.09410675048828,,0.200000002980232,5.0,,9911.0,1.00434834580643,0.118972000402907,,-0.000481211929582059,6.01773081867849e-05,-0.0462761334944819,0.0241099479985886,-0.000774124695453793,8.92122843652032e-05,-0.0753133445978165,0.0373602397739887,-2.93824432446854e-05,,,0.200000002980232,24.7256481481481,5167.653760417378,-0.9004814226832732
SPX 5/16/25 P2200,2200,0.426505434687948,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,0.349999994039536,0.0500000007450581,0.19999999739229707,1.04011635646174,0.993032438442675,0.897103090268311,0.100000001490116,,,8267.0,0.98866779333149,0.188012141063837,,-0.000260000000707805,3.64189490940745e-05,-0.0253148904583051,0.0141153159903977,-0.000506380514707416,6.64141771267168e-05,-0.0462011657655239,0.0252526067197323,-1.90287501027342e-05,,,0.100000001490116,24.7256481481481,5167.653760417378,-0.8539614070483804
SPX 5/16/25 P2300,2300,0.445892045355581,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,0.349999994039536,0.100000023841858,0.225000008940697,0.988505844141846,0.9525895054407281,0.894770297800743,0.400000005960464,,,8149.0,0.971327850984537,0.283048228216497,,-0.000914999982342124,0.000111154923333318,-0.0840962660909013,0.0446770918487029,-0.000589528877753764,7.96811291365884e-05,-0.051016952842474,0.0290639363229275,-2.20999281737022e-05,,,0.400000005960464,24.7256481481481,5167.653760417378,-0.8095096444775466
SPX 5/16/25 P2400,2400,0.465278656023215,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,0.400000035762787,0.100000023841858,0.2500000298023225,0.950009689331055,0.9125832366943359,0.8496730570678901,0.219999998807907,510.0,,9667.0,0.952381652849835,0.408403238906352,,-0.000607873022090644,8.64213579916395e-05,-0.0497879013419151,0.0299127250909805,-0.00067861401475966,9.47351509239525e-05,-0.0556351356208324,0.0330864638090134,-2.53693578997627e-05,,,0.600000023841858,24.7256481481481,5167.653760417378,-0.7669500300587506
