K,call_parity,call_plb,call_best_price,call_ask,call_mid,call_bid,call_last_price,put_parity,put_plb,put_best_price,put_ask,put_mid,put_bid,put_last_price
200,5163.580078125,5156.723882020205,5169.8984375,5169.8984375,5161.048829125,5152.19921875,5437.06005859375,,0.0,0.0500000007450581,0.0500000007450581,0.0500000007450581,,0.0500000007450581
400,4963.580078125,4957.586629992531,4962.1484385,4971.19921875,4962.1484385,4953.09765625,,,0.0,0.0500000007450581,0.0500000007450581,0.0500000007450581,,0.0500000007450581
600,4763.580078125,4758.4493779648565,4773.0,4773.0,4763.94921975,4754.8984375,4869.2998046875,,0.0,0.100000001490116,0.100000001490116,0.100000001490116,,0.100000001490116
800,4563.580078125,4559.312125937183,4566.1484385,4574.8984375,4566.1484385,4557.3984375,,,0.0,0.100000001490116,0.100000001490116,0.100000001490116,,0.150000005960464
1000,4363.580078125,4360.174873909509,4360.174873909509,4373.09765625,4365.6484385,4358.19921875,4350.759765625,,0.0,0.100000001490116,0.100000001490116,0.100000001490116,,0.100000001490116
1200,4163.580078125,4161.037621881836,4174.69921875,4174.69921875,4165.6484385,4156.59765625,4444.490234375,,0.0,0.200000988079071,0.199999988079071,0.200000988079071,,0.0500000007450581
1400,3963.580078125,3961.9003698541615,3968.85009865625,3977.60009765625,3968.85009865625,3960.10009765625,,,0.0,0.300001011920929,0.300000011920929,0.300001011920929,,1.20000004768372
1600,3763.580078125,3762.7631178264874,3775.80004882812,3775.80004882812,3767.59997658594,3759.39990234375,4516.60009765625,,0.0,0.350001023841858,0.350000023841858,0.350001023841858,,0.200000002980232
1800,3563.580078125,3563.6258657988137,3579.89990234375,3579.89990234375,3570.89990334375,3561.89990234375,4060.43994140625,,0.0,0.449999988079071,0.449999988079071,0.325000995529652,0.200000002980232,0.699999988079071
2000,3363.580078125,3364.48861377114,3379.5,3379.5,3370.44995217187,3361.39990234375,3653.68994140625,,0.0,0.600000023841858,0.600000023841858,0.425001011920929,0.25,0.639999985694885
2100,3263.580078125,3264.9199877573033,3278.30004882812,3278.30004882812,3270.30004982812,3262.30004882812,3620.01000976562,,0.0,0.5,0.699999988079071,0.525001005960465,0.350000023841858,0.5
2200,3163.580078125,3165.351361743466,3178.89990234375,3178.89990234375,3170.59997658594,3162.30004882812,3590.8798828125,,0.0,0.800000011920929,0.800000011920929,0.625001,0.449999988079071,1.00999999046326
2300,3063.580078125,3065.782735729629,3071.44995217187,3079.5,3071.44995217187,3063.39990234375,,,0.0,0.949999988079071,0.949999988079071,0.775001005960465,0.600000023841858,0.949999988079071
2400,2963.580078125,2966.2141097157923,2980.10009765625,2980.10009765625,2971.80004982812,2963.5,3377.580078125,,0.0,1.14999961853027,1.14999961853027,0.975000815225601,0.800000011920929,1.29999995231628
2500,2863.580078125,2866.6454837019555,2866.6454837019555,2880.80004882812,2872.80004982812,2864.80004882812,2505.76000976562,,0.0,1.39999961853027,1.39999961853027,1.22500090463257,1.05000019073486,2.04999995231628
2600,2763.580078125,2767.0768576881187,2773.84997658594,2782.19995117188,2773.84997658594,2765.5,,,0.0,1.75,1.75,1.57500080926514,1.39999961853027,1.95000004768372
2700,2663.580078125,2667.5082316742814,2674.000001,2682.30004882812,2674.000001,2665.69995117188,,,0.0,2.05000019073486,2.05000019073486,1.90000109536743,1.75,2.08999991416931
2800,2563.580078125,2567.9396056604446,2575.15002541406,2583.10009765625,2575.15002541406,2567.19995117188,,,0.0,2.5,2.5,2.32500080926514,2.14999961853027,2.79999995231628
2900,2463.580078125,2468.370979646608,2471.89990234375,2483.5,2477.69995217187,2471.89990234375,2374.8798828125,,0.0,3.09999990463257,3.10000038146973,2.85000138146973,2.60000038146973,3.09999990463257
3000,2363.580078125,2368.802353632771,2372.69995117188,2384.30004882812,2378.500001,2372.69995117188,2008.43005371094,,0.0,3.5,3.5,3.30000119073486,3.10000038146973,3.59999990463257
3050,2313.580078125,2319.02119572064,2334.89990234375,2334.89990234375,2329.14990334375,2323.39990234375,2726.21997070312,,0.0,3.80000019073486,3.80000019073486,3.55000119073486,3.30000019073486,7.07000017166138
3100,2263.580078125,2269.2369343529576,2273.69995117188,2285.30004882812,2279.500001,2273.69995117188,2048.0,,0.0,4.10000038146973,4.10000038146973,3.90000109536743,3.69999980926514,5.07999992370605
3150,2213.580078125,2219.452672985275,2229.90002541406,2235.69995117188,2229.90002541406,2224.10009765625,,,0.0,4.40000057220459,4.5,4.250001,4.0,4.40000057220459
3200,2163.580078125,2169.6684116175925,2186.39990234375,2186.39990234375,2180.59997658594,2174.80004882812,2247.97998046875,,0.0,4.89999961853027,4.89999961853027,4.65000061853027,4.39999961853027,5.0
