ticker,K,bid,ask,last_price,iv,volume,open_interest,delta,gamma,theta,vega,rho,T,xtype,thr_iv,thr_price,cp_flag,S,M,mid,r,q,intrinsic_value,d1,d2,bs_price,mid_diff,last_diff,thr_diff,bid_iv,ask_iv,mid_iv,last_iv,thr_iv_again,iv_bid,iv_ask,iv_mid,iv_last_price,iv_thr_price,plb
SPXW 1/31/25 P4000,4000,2.15000009536743,2.45000004768372,2.51999998092651,0.529267778692175,54.0,2837,-0.00662293937057257,0.00109305463334587,-0.250343176693071,0.355673609441241,-0.00044658870291063,0.10665208016235424,Euro,0.519889115022429,1.98221552965033,P,5974.07,1.4935174999999998,2.3000000715255746,0.04597907,0.01025257,0.0,2.435549567909396,2.262703254677804,2.710313366129867,0.17839707906275604,0.07552118517611488,0.36731517112469403,0.5143562537504289,0.522631011592426,0.518587870633696,0.5244590316896484,0.509370028690944,0.5143562537504289,0.522631011592426,0.518587870633696,0.5244590316896484,0.509370028690944,0.0
SPXW 1/31/25 P4050,4050,2.25,2.54999995231628,2.40000009536743,0.517356883561635,10.0,6997,-0.00703635811805725,0.00117967196831269,-0.258153849502402,0.375219852968644,-0.000474016162497185,0.10665208016235424,Euro,0.508452813158399,2.08177035170047,P,5974.07,1.475079012345679,2.3999999761581403,0.04597907,0.01025257,0.0,2.4141626710201516,2.2452061738580156,2.8251579727941234,0.17714916702481195,0.17714910855518265,0.35709396115014586,0.5028505193804212,0.5106950793466242,0.5068580340126795,0.5068580371273405,0.49812754175212537,0.5028505193804212,0.5106950793466242,0.5068580340126795,0.5068580371273405,0.49812754175212537,0.0
SPXW 1/31/25 P4100,4100,2.34999990463257,2.65000009536743,2.84999990463257,0.505372968490588,2.0,2610,-0.00746559957042336,0.00127237188088983,-0.265686122223858,0.39533056092415,-0.000502433884828739,0.10665208016235424,Euro,0.497039199417397,2.18519946693713,P,5974.07,1.457090243902439,2.5,0.04597907,0.01025257,0.0,2.3931047760991473,2.2280619415885132,2.938825319210615,0.17553012768424595,0.031166813175559152,0.34487737329068596,0.4912811045490492,0.4987254938536318,0.4950806031506899,0.5033705869476207,0.48690714464677964,0.4912811045490492,0.4987254938536318,0.4950806031506899,0.5033705869476207,0.48690714464677964,0.0
SPXW 1/31/25 P4150,4150,2.5,2.79999995231628,3.0,0.49455253126770105,2.0,434,-0.00802877638489008,0.00138690124712985,-0.277327677840361,0.421689012389298,-0.000540243423879112,0.10665208016235424,Euro,0.48565616641397097,2.2930374221585,P,5974.07,1.439534939759036,2.6499999761581403,0.04597907,0.01025257,0.0,2.366841133728371,2.20533199757767,3.109758826671225,0.17349390741490647,0.03658627555707502,0.3561744769712141,0.48087557048405005,0.4878542875082741,0.4844328957317198,0.4922261293374772,0.47571655600256435,0.48087557048405005,0.4878542875082741,0.4844328957317198,0.4922261293374772,0.47571655600256435,0.0
SPXW 1/31/25 P4200,4200,2.59999990463257,2.90000009536743,3.09999990463257,0.48245025220169196,8.0,361,-0.00850008986890316,0.00149483447841436,-0.284455813839756,0.443383943210917,-0.000571411736210802,0.10665208016235424,Euro,0.4743126971078,2.40596716751667,P,5974.07,1.422397619047619,2.75,0.04597907,0.01025257,0.0,2.346199638418381,2.1886428197947896,3.2238384619696987,0.1723048952617086,0.039947922950599776,0.33993452009455244,0.46914291987156614,0.4757804027373545,0.47252367295251313,0.4799486644824015,0.4645645595040344,0.46914291987156614,0.4757804027373545,0.47252367295251313,0.4799486644824015,0.4645645595040344,0.0
SPXW 1/31/25 P4250,4250,2.75,3.09999990463257,2.90000009536743,0.47188943668740996,46.0,890,-0.0091806473210454,0.00163403528818292,-0.297474510134382,0.474062938600864,-0.000616270974649553,0.10665208016235424,Euro,0.463018626755021,2.52483931421614,P,5974.07,1.4056635294117645,2.924999952316285,0.04597907,0.01025257,0.0,2.318426413649815,2.1643185070889857,3.421424024939604,0.16971763443285007,0.17980134911206266,0.3551056519419801,0.4584589252311274,0.4657006609022893,0.4621535369912192,0.4616351312609241,0.4534607697568062,0.4584589252311274,0.4657006609022893,0.4621535369912192,0.4616351312609241,0.4534607697568062,0.0
SPXW 1/31/25 P4300,4300,2.90000009536743,3.20000004768372,3.4300000667572,0.46016562490247,2.0,1397,-0.00976429600268602,0.00176845174855675,-0.299236290558983,0.500312905048187,-0.000654803969756459,0.10665208016235424,Euro,0.451784267027775,2.65068734449927,P,5974.07,1.3893186046511627,3.0500000715255746,0.04597907,0.01025257,0.0,2.295787599143264,2.1455084116649665,3.56353975404879,0.16837366245252214,0.03893285268004138,0.344383282865812,0.4476253958336227,0.45350602647892674,0.45061466959519164,0.45776704850929567,0.4424152630395618,0.4476253958336227,0.45350602647892674,0.45061466959519164,0.45776704850929567,0.4424152630395618,0.0
SPXW 1/31/25 P4350,4350,3.0,3.40000009536743,8.39999961853027,0.44882215378261203,,356,-0.0104428520426154,0.00192139757272819,-0.30948031473089,0.530183051688241,-0.000699154217148592,0.10665208016235424,Euro,0.440619893695567,2.78473681075851,P,5974.07,1.3733494252873562,3.200000047683715,0.04597907,0.01025257,0.0,2.271186447875286,2.1246117692321214,3.7320768011643395,0.1662739829850198,-0.5557051225417398,0.3401901345742586,0.4356993792267808,0.4430988039367212,0.4394769453260764,0.5072309055833102,0.4314380743707815,0.4356993792267808,0.4430988039367212,0.4394769453260764,0.5072309055833102,0.4314380743707815,0.0
SPXW 1/31/25 P4375,4375,3.09999990463257,3.40000009536743,3.79999995231628,0.442657365270577,2.0,198,-0.0107153747230768,0.00199439548616516,-0.31254894699169,0.542766824788069,-0.000717837091709973,0.10665208016235424,Euro,0.43506699994965503,2.85527311448041,P,5974.07,1.3655017142857142,3.25,0.04597907,0.01025257,0.0,2.2611476494271208,2.1165862446106583,3.788388129684364,0.16565788605672738,-0.0030557428362172016,0.3268041191827487,0.43066647366339905,0.4360852240986005,0.43341783710181175,0.4428339177672981,0.4259780735018689,0.43066647366339905,0.4360852240986005,0.43341783710181175,0.4428339177672981,0.4259780735018689,0.0
SPXW 1/31/25 P4400,4400,3.20000004768372,3.5,3.79999995231628,0.437385757779493,22.0,1001,-0.0111401807516813,0.00208710769447791,-0.31945565669626,0.561233794341422,-0.000745682655092284,0.10665208016235424,Euro,0.429535115820826,2.92840673334621,P,5974.07,1.3577431818181818,3.3500000238418597,0.04597907,0.01025257,0.0,2.246777271348957,2.1039374486055418,3.9011204180415717,0.16451354933653822,0.02661064920899639,0.3321648163210814,0.4255750409002289,0.43081509385300987,0.4282343176904046,0.4357636549961348,0.4205385785546075,0.4255750409002289,0.43081509385300987,0.4282343176904046,0.4357636549961348,0.4205385785546075,0.0
